Term,TermCount,DocCount,TFIDF
dropping,2326,1836,1.266884531590414
vascular,23960,7259,3.3007301281168204
pedicles,6300,5670,1.1111111111111112
Hem,4351,2257,1.9277802392556491
neurovascular bundle,10408,6760,1.5396449704142012
separated,2009,1454,1.3817056396148555
3 mm,6885,3492,1.9716494845360826
vesicourethral anastomosis,3002,2126,1.4120413922859831
hemostasis,20783,10016,2.074980031948882
anastomosis,15222,5522,2.7566099239406014
run,9671,4876,1.9833880229696472
leakage,22612,7791,2.9023231934283147
decreased,54171,10310,5.254219204655674
arm,26192,6591,3.973903808223335
silk,2848,1660,1.7156626506024097
Placed,17555,5445,3.224058769513315
Specimens,13971,7379,1.8933459818403577
Placement,5981,3120,1.9169871794871796
Removal,11520,4740,2.430379746835443
Gastric,1163,600,1.9383333333333332
Hygiene,3376,2972,1.135935397039031
Sterile,4620,3901,1.1843117149448859
Hand,11033,5350,2.0622429906542057
Implants,9103,6170,1.4753646677471637
Balloon,5746,3805,1.5101182654402103
Implant,9184,5753,1.5963844950460628
Urine,29108,8510,3.420446533490012
Inv,5001,4207,1.1887330639410507
Manufacturer,5104,4590,1.1119825708061002
Symmetry,783,682,1.1480938416422288
prescriptions,9126,5119,1.7827700722797422
HISTORY,75017,13622,5.5070474232858615
examined,56724,12452,4.555412785094764
irritant,459,377,1.2175066312997347
procedures,24209,8813,2.7469647112220583
Location,134556,14228,9.457126792240652
Stop,21470,11583,1.8535785202451869
Responsible,17501,11364,1.5400387187609996
Pulse,82106,13334,6.157642117894105
Resp,59648,12698,4.697432666561664
SpO2,65903,12720,5.1810534591194966
Respiratory status,10898,10492,1.0386961494471978
Hydration status,10538,10290,1.0241010689990282
nausea/vomiting,16328,11580,1.4100172711571675
patent airway,10551,10439,1.0107289970303668
hemodynamics,12321,10587,1.1637857750070841
Temperature,41940,12746,3.2904440608818453
Oxygen,17903,11294,1.5851779706038605
none,65078,13181,4.937258174645323
COMFORT LEVEL,4351,2535,1.716370808678501
FALL INJURY,2631,1790,1.469832402234637
fall injury,2755,1844,1.4940347071583515
Goals,66732,9103,7.330770075799187
Maintain safe environment,4464,2395,1.8638830897703549
Progressing,30432,3778,8.05505558496559
Clinical,77758,12424,6.258692852543464
Assessment,138543,13518,10.24877940523746
Home,73282,11516,6.363494268843349
Treatment,93523,10261,9.114413799824579
Pain,140481,12466,11.269132039146479
confirmed,51447,13771,3.7358942705685863
legal guardian,22503,9981,2.2545837090471896
verified,27226,11669,2.3331905047561916
ask questions,12598,8187,1.5387809942591915
staff,26371,7471,3.5297818230491234
consult,63798,10453,6.103319621161389
spiritual support,899,654,1.3746177370030581
engaged,5026,2250,2.2337777777777776
said,19844,5620,3.530960854092527
anxiety,29848,6064,4.922163588390501
Interventions,13163,3836,3.431438998957247
support from family,687,567,1.2116402116402116
hospitalization,35386,8440,4.192654028436019
Identified,910,707,1.2871287128712872
challenges,3576,2175,1.6441379310344828
coping,6324,2200,2.8745454545454545
Care Goals,41,36,1.1388888888888888
front desk,591,468,1.2628205128205128
dentures,2015,1345,1.4981412639405205
Activity,31847,7184,4.43304565701559
You,105707,10960,9.644799270072992
Signature,12061,4675,2.5798930481283424
SUBJECTIVE,157382,14222,11.06609478273098
dizziness,39189,8286,4.729543808834178
improved,96333,10977,8.77589505329325
complaints,47669,10823,4.404416520373279
post operative,2730,2146,1.272134203168686
distended,18594,7723,2.407613621649618
Oral,16909,6121,2.762457114850515
NAD,8979,5624,1.5965504978662874
Incision,6214,3524,1.7633371169125993
drainage,54804,9667,5.669183821247543
clots,13132,5661,2.3197314962020843
Warm,22018,8649,2.545727829806914
Output,10290,3817,2.695834424941053
Blood,22908,6994,3.2753788961967403
Labs,42106,11165,3.7712494402149574
HGB,9784,5488,1.782798833819242
CREATININE,13454,6748,1.9937759336099585
Ambulate,2431,1973,1.232133806386214
incentive spirometry,1828,1424,1.2837078651685394
oral pain,2328,1924,1.20997920997921
discharge,139026,11811,11.770891541783083
Discharge to home,1191,1039,1.1462945139557266
Disposition,18652,5712,3.265406162464986
Urethra,1305,927,1.4077669902912622
color,18326,7506,2.441513455901945
education,72406,12531,5.778150187534913
His,316645,14582,21.714785351803595
urethral,14627,6364,2.298397234443746
scan,21322,7719,2.7622749060759166
birth,3953,3178,1.2438640654499686
void,28243,9706,2.9098495775808777
URETHRAL,186,90,2.066666666666667
UNABLE,3755,1520,2.4703947368421053
DILATE,9,6,1.5
DIFFICULTY,48,30,1.6
URETHRA,219,91,2.4065934065934065
USED,196,173,1.1329479768786128
TIME,4926,2422,2.0338563170933113
OTHER,13557,6302,2.151221834338305
PERIOD,114,77,1.4805194805194806
URINARY CONTROL,1,1,1.0
URETHRAL MEATAL STENOSIS,1,1,1.0
application,21922,7340,2.986648501362398
Site,38178,9260,4.122894168466523
therapeutic,15212,4901,3.1038563558457457
navicular,294,156,1.8846153846153846
fossa,5999,2599,2.308195459792228
dilates,37,29,1.2758620689655173
phosphodiesterase inhibitor,921,893,1.0313549832026876
15 minutes,12635,6166,2.0491404476159585
ULTRASOUND SCAN,888,714,1.2436974789915967
PEAK FLOW,1104,893,1.2362821948488243
ATTENDING PHYSICIAN,3887,2611,1.4887016468785905
secondary,64743,10769,6.011978828117745
dilation,7453,2499,2.9823929571828733
urinary control,8182,4120,1.9859223300970874
urologic,8445,4874,1.7326631103816168
Result,127882,10401,12.295163926545525
Margin,7501,3103,2.417338059941992
sensation,30026,8809,3.4085594278578726
penile,26434,6037,4.378664899784662
PCP,38766,8513,4.553741336779044
bulge,5447,2386,2.28290025146689
asymmetry,4306,2625,1.6403809523809523
peak flow,1539,1088,1.4145220588235294
confirm,12916,6422,2.0112114606041733
grade 1,4373,2229,1.9618663077613279
test,61476,10581,5.810036858519989
fascial,3299,2194,1.5036463081130356
Imaging,25068,8704,2.8800551470588234
incisions,20105,6806,2.9540111666176903
Consult,27656,9296,2.9750430292598966
difficulties,17974,6734,2.669141669141669
detectable PSA,1412,942,1.4989384288747345
recurrence,38901,8867,4.387165896018947
PSMA,20566,2879,7.143452587704064
undetectable PSA,3504,2252,1.5559502664298401
induration,7375,4440,1.6610360360360361
Component,39446,10436,3.7798006899195093
imaging studies,5508,3213,1.7142857142857142
new,144372,13161,10.969683154775472
radiation oncology,11724,5752,2.0382475660639776
pT2b,216,83,2.602409638554217
REVIEW OF SYSTEMS,93453,13952,6.698179472477064
review of systems,24982,9626,2.5952628298358613
Intake,15838,4944,3.2034789644012944
score,89120,12956,6.878666255016981
Radical Prostatectomy,4371,2503,1.746304434678386
PAST MEDICAL HISTORY,13366,7129,1.874877261888063
Radiation Treatments,936,806,1.1612903225806452
radiotherapy,52396,8276,6.331077815369744
Breast cancer,2113,1238,1.7067851373182552
history of present illness,6659,4307,1.5460877641049455
electronic medical,6134,3889,1.5772692208794035
MCV,5555,3304,1.6812953995157385
PLT,7046,4473,1.5752291526939415
PATHOLOGY,6692,4726,1.4159966144731273
vesicles,7846,5447,1.440425922526161
surgical margins,2360,1875,1.2586666666666666
capsular,6828,4080,1.673529411764706
Sectioning,535,417,1.2829736211031175
parenchyma,1307,975,1.3405128205128205
period,28057,10147,2.7650537104562924
encounters,2117,1932,1.0957556935817805
high risk,19630,6928,2.8334295612009237
back mid,25,25,1.0
45 minutes,8811,5202,1.693771626297578
Confirmatory,308,265,1.1622641509433962
functional status,5815,2675,2.1738317757009344
detect,2445,1862,1.3131041890440387
recurrence of disease,355,271,1.3099630996309963
sees,5874,3433,1.7110399067870667
guidance,15183,6681,2.272563987427032
PET,29262,4541,6.443955075974455
intermediate risk,18309,6173,2.9659808844970033
mos,699,489,1.4294478527607362
RADIATION ONCOLOGY,11577,5368,2.1566691505216093
thoracic,11813,3447,3.4270380040615027
nodes,39986,10402,3.8440684483753125
Beam Radiation,746,718,1.0389972144846797
TREATMENT,18036,5643,3.1961722488038276
Therapy,30403,7239,4.1998894874982735
Lower,12390,5158,2.4020938348196976
SCAN,2197,2125,1.0338823529411765
Leg,7345,3775,1.9456953642384105
healthcare team,11583,7531,1.5380427566060284
supervision,16390,5231,3.1332441215828712
assistance,62392,10085,6.186613782845811
Radiotherapy,8508,4275,1.9901754385964912
Prostate Bed,160,114,1.4035087719298245
Pelvis,10822,5314,2.036507339104253
loss of appetite,5769,3547,1.626444882999718
FOLLOW UP,23298,9476,2.4586323343182777
Subjective,16119,5684,2.8358550316678395
Still,6209,3266,1.9011022657685241
HPI,65145,12985,5.016942626107046
worse,44014,8662,5.081274532440545
Review of Systems,18098,7529,2.4037720812856955
total cholesterol,3022,1899,1.5913638757240653
opioid,8421,2635,3.1958254269449715
ASCVD,3310,1628,2.033169533169533
Male,19573,5639,3.471005497428622
Screening,29507,10067,2.931061885368034
never smoked,2947,2206,1.3359020852221215
Tobacco,24797,8735,2.8388093875214655
Objective,8606,4183,2.0573750896485774
appearance,28600,9728,2.939967105263158
Pulses,12046,6610,1.822390317700454
Capillary,2910,2786,1.0445082555635319
Mood,25319,8505,2.976954732510288
Thought Content,3993,3860,1.0344559585492228
Thought content,6053,4652,1.3011607910576097
using sunscreen,164,154,1.0649350649350648
HIV Screening,67,54,1.2407407407407407
moles,1775,1133,1.5666372462488967
dental exams,335,289,1.1591695501730104
blood pressure,83067,8572,9.69050396640224
increased blood pressure,175,159,1.10062893081761
Fresh,216,139,1.5539568345323742
low carbohydrate diet,110,102,1.0784313725490196
potatoes,1398,868,1.6105990783410138
sugars,12847,2373,5.413822166034556
rice,1429,922,1.5498915401301518
burning,11833,5604,2.1115274803711634
weight,122648,12991,9.440997613732584
lead,13617,5761,2.363652143725048
liquor,948,712,1.3314606741573034
smoke,11278,5670,1.9890652557319224
chewing tobacco,692,423,1.635933806146572
testicular exams,54,35,1.542857142857143
falls,25230,5972,4.224715338245144
tetanus,2358,1447,1.6295784381478922
booster,3655,2079,1.758056758056758
immunizations,5001,3276,1.5265567765567765
Stage,21006,5714,3.6762338116905844
Group,14494,6675,2.1713857677902624
pretreatment,4922,2820,1.7453900709219858
got,16293,5965,2.731433361274099
Increase,7500,3390,2.2123893805309733
decrease,33797,8605,3.9276002324230097
quality of life,15138,7415,2.041537424140256
pelvic pain,2669,1686,1.5830367734282325
past medical history,29730,9443,3.1483638674150165
ZYRTEC,198,133,1.4887218045112782
SOCIAL HISTORY,33233,10952,3.0344229364499635
alcohol use,11079,5584,1.9840616045845272
drugs,9734,5216,1.866180981595092
virtual,5008,2897,1.7286848463928202
conjunctiva,5595,3521,1.5890372053393922
Chest,43499,11241,3.8696735165910505
affect,51676,13307,3.8833696550687606
whole body,1211,881,1.3745743473325767
Adenocarcinoma,15436,7102,2.1734722613348354
prostatic tissue,5795,3616,1.602599557522124
report,107148,13374,8.0116644235083
scans,7475,3364,2.2220570749108206
CONSULT,45448,11794,3.8534848227912497
81 mg aspirin,1042,787,1.324015247776366
pacemaker placement,1412,360,3.922222222222222
coronary,16345,4014,4.071998006975585
artery,14517,4255,3.411750881316099
sleepy,3816,2415,1.5801242236024844
frequency of urination,1087,869,1.2508630609896432
dribbling,4124,2650,1.5562264150943397
urinary tract infections,6011,4184,1.436663479923518
10 pounds,10575,5714,1.8507175358767938
difficulty hearing,5186,3883,1.335565284573783
Personal History,18230,5205,3.5024015369836694
Cardiac Status,601,194,3.097938144329897
Cancer,29397,8363,3.5151261509027862
Procedure Laterality,15388,8759,1.7568215549720287
CORONARY ANGIOPLASTY,292,188,1.553191489361702
PACEMAKER PLACEMENT,56,33,1.696969696969697
STENT PLACEMENT,1360,706,1.9263456090651558
Neck,45283,11289,4.011249889272744
distention,7301,3591,2.0331384015594542
mood,41029,11861,3.4591518421718237
behavior,13814,7287,1.895704679566351
Rectum,6284,3526,1.7821894498014748
Urinalysis,11056,5589,1.978171408123099
Osmolality,170,113,1.5044247787610618
Glucose,10635,3894,2.731124807395994
Antiplatelet,568,401,1.4164588528678304
stopping,8724,4589,1.901067770756156
activities,42481,8976,4.732731729055258
digital rectal examination,2021,1278,1.581377151799687
hematochezia,11462,5795,1.9779119930974978
scoring,4451,3449,1.2905189910118875
sedation,41133,9129,4.505750903713441
Fleet enema,672,636,1.0566037735849056
adverse effects,9269,6315,1.4677751385589866
cold,15168,5978,2.5373034459685515
fatigued,8334,3267,2.5509641873278235
ingestion,476,336,1.4166666666666667
irritants,2407,1482,1.6241565452091768
interventional,5910,4524,1.306366047745358
Verbal,15509,5436,2.853016924208977
HOLLY,270,133,2.030075187969925
documentation,38346,11068,3.4645825804119985
and testing,11139,6939,1.6052745352356248
skin preparation,8036,6678,1.2033542976939204
sterile,41302,11126,3.7122056444364553
infiltrate,6014,3588,1.6761426978818283
Ultrasound,15553,7328,2.1224072052401746
Lidocaine,5947,3846,1.546281851274051
iodine,5089,3465,1.4686868686868686
MAR,7592,4103,1.8503533999512551
core biopsy,2533,1691,1.4979302188054406
Biopsies,4221,2768,1.5249277456647399
block,17650,6519,2.7074704709311246
responsible,8997,5582,1.6117878896452884
Ordering,6125,3708,1.6518338727076591
management,100203,12994,7.7114822225642605
Other,102639,13641,7.524301737409281
prostate examination,1479,949,1.5584826132771339
PSA increased,1071,857,1.249708284714119
enlargement,7253,3961,1.8311032567533452
probable,6554,3790,1.729287598944591
tamsulosin,21262,5626,3.7792392463562035
MRI scan,5273,2567,2.0541488118426177
adenocarcinoma,43967,10852,4.051511242167343
UROLOGIC,3136,2460,1.2747967479674798
REPORTED,4519,3330,1.357057057057057
weight changes,1381,1215,1.1366255144032922
fever,67970,11102,6.122320302648172
retention,28035,8008,3.500874125874126
bowel movements,33685,9913,3.398063149399778
internal fixation,420,212,1.9811320754716981
Hernia Umbilical,763,260,2.9346153846153844
Hypertension NOS,6830,3744,1.8242521367521367
Hernia Inguinal,2435,601,4.0515806988352745
Hyperlipidemia,40795,8380,4.8681384248210025
Anticoagulant,3185,1129,2.821080602302923
Unspecified,10433,4244,2.4582940622054665
infarction,9839,4970,1.9796780684104627
ulcerative,3589,1553,2.311010946555055
diabetes,45147,10141,4.451927817769451
Hearing,12013,4025,2.9845962732919253
Stress,6838,3127,2.18676047329709
Tibia,431,209,2.062200956937799
gastrointestinal,3161,2037,1.551791850760923
low-dose aspirin,989,671,1.473919523099851
PINNING,30,16,1.875
WISDOM TOOTH EXTRACTION,562,296,1.8986486486486487
joint replacements,290,249,1.1646586345381527
Years of education,2498,2174,1.1490340386384545
Alcohol use,10427,6781,1.537678808435334
Married,4816,3492,1.3791523482245132
Retired,5862,3477,1.6859361518550475
Number of children,2599,2261,1.1494913754975675
cervical lymphadenopathy,2182,1692,1.289598108747045
tender abdomen,115,113,1.0176991150442478
hernias,2835,2040,1.3897058823529411
Pretreatment,2232,1511,1.4771674387822633
androgen suppression,5102,1596,3.1967418546365916
Score 6,55,47,1.1702127659574468
challenge,3246,1379,2.353879622915156
Intensity modulated radiotherapy,383,275,1.3927272727272728
anticoagulant therapy,945,682,1.3856304985337244
not recommended,2375,1819,1.3056624518966464
Ready to learn,14161,7457,1.899021054043181
EDUCATION,22181,8891,2.49476999212687
Low risk prostate cancer,617,436,1.415137614678899
Coronary artery,10198,3222,3.165114835505897
Bradycardia,1411,720,1.9597222222222221
repairs,1048,733,1.4297407912687585
drug,14138,4623,3.0581873242483235
consideration,20001,7565,2.6438863185723727
profiling,331,234,1.4145299145299146
lower urinary tract symptoms,11663,5930,1.966779089376054
genitalia,2710,2335,1.1605995717344755
nodules,26453,9433,2.804304039011979
Oncologic,2909,2103,1.3832620066571564
moving,18319,6823,2.6848893448629636
Creatinine,17163,5830,2.9439108061749573
Glucagon,20602,5935,3.4712721145745578
egfr,93,82,1.1341463414634145
Gel,872,730,1.1945205479452055
anesthetics,1051,957,1.0982236154649947
allergy,18193,8481,2.145147977832803
latex allergy,525,517,1.0154738878143132
Birth,9157,6712,1.3642729439809296
chest pressure,5145,3307,1.555790746900514
bradycardia,8299,3025,2.743471074380165
Stress test,868,672,1.2916666666666667
Circulatory,708,371,1.908355795148248
Digestive,680,457,1.487964989059081
Completed,12466,5624,2.216571834992888
request for surgery,1160,847,1.369539551357733
coronary artery disease,18192,4079,4.459916646236823
stent placement,6958,1782,3.904601571268238
